r	psi	dpsi	om	dom
1.	0.	0.	-12.	13.
1.04	0.009300000000000001	0.46080000000000004	-11.4993	12.0569
1.08	0.0364	0.8867	-11.0341	11.216700000000001
1.12	0.07980000000000001	1.2816	-10.600800000000001	10.4649
1.1599000000000002	0.1385	1.6493	-10.1959	9.7895
1.1999	0.2114	1.9927000000000001	-9.8167	9.1805
1.24	0.2977	2.3144	-9.460700000000001	8.6295
1.28	0.39630000000000004	2.6164	-9.1257	8.1293
1.32	0.5067	2.9008000000000003	-8.809700000000001	7.674
1.36	0.6282	3.1692	-8.5112	7.2582
1.3999000000000001	0.7601	3.4229000000000003	-8.2286	6.8775
1.4399000000000002	0.9019	3.6633	-7.9606	6.5281
1.48	1.0530000000000002	3.8914	-7.706	6.2067000000000005
1.52	1.213	4.1082	-7.4637	5.9103
1.56	1.3815000000000002	4.3145	-7.232900000000001	5.6364
1.6	1.558	4.5112000000000005	-7.0126	5.3828000000000005
1.6400000000000001	1.7423000000000002	4.6989	-6.8020000000000005	5.1475
1.6800000000000002	1.9338000000000002	4.8781	-6.6005	4.9288
1.72	2.1324	5.0496	-6.407500000000001	4.7252
1.76	2.3377000000000003	5.2137	-6.222300000000001	4.5353
1.8	2.5494000000000003	5.370900000000001	-6.0445	4.3580000000000005
1.84	2.7673	5.5216	-5.8735	4.1921
1.8799000000000001	2.9911000000000003	5.6662	-5.7090000000000005	4.0366
1.9200000000000002	3.2205000000000004	5.805000000000001	-5.5505	3.8908
1.9600000000000002	3.4554	5.938400000000001	-5.397600000000001	3.7538
2.	3.6955	6.0665000000000004	-5.25	3.625
2.04	3.9407	6.1897	-5.1075	3.5036
2.08	4.1907000000000005	6.3082	-4.9697000000000005	3.3892
2.12	4.4453000000000005	6.4222	-4.8363000000000005	3.2812
2.16	4.704400000000001	6.5319	-4.7071000000000005	3.1791
2.2	4.9678	6.6376	-4.5819	3.0826000000000002
2.24	5.2353000000000005	6.7393	-4.4604	2.9912
2.2799	5.5069	6.8372	-4.3425	2.9045
2.3199	5.7823	6.9316	-4.228000000000001	2.8223000000000003
2.3599	6.0614	7.0224	-4.1167	2.7443
2.3999	6.344	7.1099000000000006	-4.0084	2.6701
2.44	6.6301000000000005	7.1942	-3.903	2.5995
2.48	6.9195	7.2754	-3.8004000000000002	2.5323
2.52	7.2121	7.3536	-3.7004	2.4683
2.56	7.5078000000000005	7.4289000000000005	-3.6029	2.4073
2.6	7.8064	7.5014	-3.5077000000000003	2.3491
2.64	8.1079	7.5711	-3.4149000000000003	2.2935000000000003
2.68	8.4121	7.6382	-3.3242000000000003	2.2403
2.72	8.7189	7.702800000000001	-3.2356000000000003	2.1895000000000002
2.7599	9.0282	7.7648	-3.149	2.1409000000000002
2.7999	9.34	7.824400000000001	-3.0643000000000002	2.0943
2.8399	9.654200000000001	7.8817	-2.9815	2.0497
2.8799	9.970600000000001	7.9367	-2.9003	2.007
2.9199	10.289100000000001	7.9895000000000005	-2.8209	1.9660000000000002
2.96	10.6097	8.040000000000001	-2.7430000000000003	1.9266
3.	10.9323	8.0885	-2.6667	1.8888
3.04	11.2567	8.1349	-2.5919000000000003	1.8525
3.08	11.583	8.1792	-2.5185	1.8176
3.12	11.911100000000001	8.2216	-2.4465	1.7841
3.16	12.2407	8.262	-2.3757	1.7518
3.2	12.572000000000001	8.300600000000001	-2.3063000000000002	1.7207000000000001
3.24	12.9048	8.337200000000001	-2.2381	1.6907
3.2800000000000002	13.239	8.3721	-2.1710000000000003	1.6618000000000002
3.3200000000000003	13.5745	8.4052	-2.1051	1.6340000000000001
3.3600000000000003	13.9114	8.4365	-2.0403000000000002	1.6072000000000002
3.4000000000000004	14.249400000000001	8.4661	-1.9765000000000001	1.5813000000000001
3.44	14.588600000000001	8.494	-1.9138000000000002	1.5563
3.48	14.9289	8.5203	-1.852	1.5321
3.52	15.2702	8.545	-1.7912000000000001	1.5088000000000001
3.56	15.6125	8.568	-1.7313	1.4863000000000002
3.6	15.9557	8.589500000000001	-1.6723000000000001	1.4645000000000001
3.64	16.2996	8.6094	-1.6141	1.4434
3.68	16.6444	8.6278	-1.5568000000000002	1.423
3.72	16.989800000000002	8.6447	-1.5003	1.4032
3.7599	17.336000000000002	8.6601	-1.4445000000000001	1.3841
3.8000000000000003	17.6826	8.674100000000001	-1.3895	1.3656000000000001
3.8400000000000003	18.0299	8.6867	-1.3353000000000002	1.3477000000000001
3.8800000000000003	18.3776	8.6978	-1.2817	1.3303
3.9200000000000004	18.7257	8.7075	-1.2288000000000001	1.3134000000000001
3.9600000000000004	19.0742	8.7159	-1.1766	1.2971000000000001
4.	19.422900000000002	8.722900000000001	-1.125	1.2812000000000001
4.04	19.772000000000002	8.7285	-1.0741	1.2658
4.08	20.1212	8.7329	-1.0238	1.2509000000000001
4.12	20.4706	8.7359	-0.9740000000000001	1.2364000000000002
4.16	20.8201	8.7377	-0.9249	1.2223000000000002
4.2	21.169600000000003	8.738100000000001	-0.8762000000000001	1.2086000000000001
4.24	21.5191	8.737300000000001	-0.8282	1.1953
4.28	21.8686	8.7353	-0.7806000000000001	1.1823000000000001
4.32	22.2179	8.732000000000001	-0.7336	1.1697
4.36	22.5671	8.727500000000001	-0.687	1.1575
4.4	22.9161	8.7218	-0.641	1.1456
4.44	23.2648	8.7149	-0.5954	1.1340000000000001
4.48	23.613300000000002	8.706800000000001	-0.5502	1.1228
4.5199	23.9614	8.6976	-0.5055000000000001	1.1118000000000001
4.5599	24.3091	8.687100000000001	-0.46130000000000004	1.1011
4.5999	24.6563	8.675600000000001	-0.4174	1.0907
4.6399	25.0031	8.6629	-0.374	1.0805
4.6799	25.3493	8.649000000000001	-0.331	1.0707
4.7199	25.695	8.6341	-0.2884	1.061
4.7599	26.040100000000002	8.618	-0.2461	1.0516
4.7999	26.384400000000003	8.600900000000001	-0.20420000000000002	1.0425
4.8399	26.7281	8.582600000000001	-0.1627	1.0336
4.88	27.071	8.5633	-0.12150000000000001	1.0248000000000002
4.92	27.4132	8.542900000000001	-0.08070000000000001	1.0163
