r	psi	dpsi	om	dom
1.	0.	0.	-0.8	1.8
1.1333	0.006200000000000001	0.08710000000000001	-0.6021000000000001	1.2181
1.2666000000000002	0.0219	0.1458	-0.46540000000000004	0.8594
1.3999000000000001	0.0443	0.1867	-0.3674	0.6268
1.5333	0.0712	0.21580000000000002	-0.2949	0.4697
1.6666	0.1015	0.2369	-0.24000000000000002	0.3599
1.8	0.1341	0.2523	-0.1976	0.2812
1.9333	0.1686	0.2636	-0.1641	0.2232
2.0666	0.2043	0.272	-0.1374	0.1797
2.2	0.24100000000000002	0.2781	-0.1158	0.14650000000000002
2.3333	0.27840000000000004	0.2826	-0.098	0.1206
2.4666	0.3163	0.2857	-0.0833	0.1003
2.6	0.3546	0.2878	-0.0711	0.08420000000000001
2.7333000000000003	0.3931	0.2892	-0.060700000000000004	0.0711
2.8666	0.43170000000000003	0.2899	-0.052000000000000005	0.060500000000000005
3.	0.47040000000000004	0.2901	-0.044500000000000005	0.051800000000000006
3.1333	0.509	0.2899	-0.0381	0.0446
3.2666	0.5477000000000001	0.2894	-0.0325	0.0386
3.4000000000000004	0.5862	0.2886	-0.027700000000000002	0.0335
3.5333	0.6246	0.2877	-0.0235	0.029300000000000003
3.6666000000000003	0.6629	0.2866	-0.0199	0.0256
3.8000000000000003	0.7011000000000001	0.2853	-0.0167	0.022500000000000003
3.9333	0.739	0.28390000000000004	-0.013800000000000002	0.0199
4.0666	0.7768	0.28250000000000003	-0.011300000000000001	0.0176
4.2	0.8144	0.28090000000000004	-0.0091	0.015600000000000001
4.3333	0.8517	0.27940000000000004	-0.007200000000000001	0.013900000000000001
4.466600000000001	0.8889	0.2777	-0.0054	0.012400000000000001
4.5999	0.9258000000000001	0.2761	-0.0038	0.011000000000000001
4.7333	0.9625	0.27440000000000003	-0.0024000000000000002	0.0099
4.8666	0.999	0.2727	-0.0012000000000000001	0.0089
5.	1.0352000000000001	0.271	0.	0.008
