r	psi	dpsi	om	dom
1.	0.	0.	-4.	5.
1.1333	0.0323	0.4635	-3.4040000000000004	4.0034
1.2666000000000002	0.1188	0.8188000000000001	-2.9193000000000002	3.3047
1.3999000000000001	0.24730000000000002	1.0974000000000002	-2.5143	2.7959
1.5333	0.40890000000000004	1.3190000000000002	-2.1682	2.4139
1.6666	0.597	1.496	-1.8667	2.1199
1.8	0.8063	1.637	-1.6	1.8888
1.9333	1.0323	1.7482	-1.361	1.7039000000000002
2.0666	1.2713	1.8337	-1.1441000000000001	1.5535
2.2	1.5203	1.897	-0.9455	1.4297
2.3333	1.7763	1.9404000000000001	-0.762	1.3265
2.4666	2.0369	1.9659000000000002	-0.5910000000000001	1.2395
2.6	2.2998000000000003	1.9752	-0.4308	1.1656
2.7333000000000003	2.563	1.9693	-0.2797	1.1023
2.8666	2.8244000000000002	1.9494	-0.1365	1.0475
3.	3.0822000000000003	1.9163000000000001	0.	1.
3.1333	3.3352	1.8793000000000002	-0.0001	0.
3.2666	3.5836	1.8467	0.	-0.0001
3.4000000000000004	3.8279	1.8178	-0.0001	0.
3.5333	4.0685	1.7922	0.	-0.0001
3.6666000000000003	4.3059	1.7693	0.	0.
3.8000000000000003	4.540500000000001	1.7488000000000001	0.	0.
3.9333	4.7724	1.7304000000000002	0.	-0.0001
4.0666	5.002000000000001	1.7137	-0.0001	0.
4.2	5.2295	1.6986	0.	0.
4.3333	5.455	1.6848	-0.0001	0.
4.466600000000001	5.6788	1.6723000000000001	0.	0.
4.5999	5.901000000000001	1.6609	0.	0.
4.7333	6.1218	1.6504	0.	0.
4.8666	6.341200000000001	1.6407	0.	-0.0001
5.	6.5593	1.6318000000000001	0.	0.
